rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
2929,b,5,8.726,,0.199,TRUE,298.252049,40.496077,14.764,6031,1,1.17
2930,c,5,12.883,,0.211,TRUE,298.252049,40.496077,14.764,6031,1,1.17
2931,d,5,4.224537,,0.123,FALSE,298.252049,40.496077,14.764,6031,1,1.17
2932,e,5,27.434389,,0.232,FALSE,298.252049,40.496077,14.764,6031,1,1.17
2933,f,5,44.552169,,0.196,FALSE,298.252049,40.496077,14.764,6031,1,1.17
2934,b,1,2.49577962,,1.523,FALSE,296.507394,49.457291,14.152,5920,1.04,1.06
2935,b,1,124.4198398,,0.467,FALSE,284.251306,48.809612,15.74,5324,0.85,0.81
2936,b,1,1.21956827,,0.143,FALSE,292.328581,49.653538,15.127,4848,0.78,0.73
2937,b,1,2.05387982,,0.231,FALSE,296.321994,48.971478,15.269,5830,1.02,1.03
2938,b,1,2.61302086,,0.15,FALSE,287.857729,48.774113,15.84,4128,0.59,0.57
2939,b,1,0.92785982,,0.182,FALSE,290.957565,49.203812,14.631,4913,0.79,0.75
2940,b,1,19.80792185,,0.221,FALSE,287.057016,49.046021,15.65,5579,0.94,0.91
2941,b,1,2.3432319,,0.105,FALSE,283.504798,49.451015,14.782,4940,0.83,0.77
2942,b,1,6.91134416,,0.152,FALSE,293.288273,48.811619,14.056,5695,1.01,1.2
2943,b,1,394.6244904,,0.637,FALSE,290.851779,48.521339,12.849,6059,1.23,1.64
2944,b,4,8.306,,0.176,TRUE,290.973429,45.290318,14.779,5436,0.92,0.89
2945,c,4,12.513,,0.194,TRUE,290.973429,45.290318,14.779,5436,0.92,0.89
2946,d,4,17.91323,,0.107,FALSE,290.973429,45.290318,14.779,5436,0.92,0.89
2947,e,4,25.216751,,0.113,FALSE,290.973429,45.290318,14.779,5436,0.92,0.89
2948,b,1,7.19303878,,0.159,FALSE,293.084462,48.57539,15.451,5932,1.06,1.09
2949,b,1,8.50699658,,0.15,FALSE,294.680286,49.14016,15.135,5455,0.89,0.85
2950,b,1,44.9309804,,0.227,FALSE,297.391593,48.560692,13.949,6100,1.19,1.16
2951,b,1,7.16892463,,0.151,FALSE,283.936824,49.110325,12.32,6350,1.3,1.55
2952,b,1,2.14463285,,1.492,FALSE,293.351293,43.13464,13.48,6179,1.17,1.27
2953,b,1,7.8866311,,0.745,FALSE,295.09499,43.537586,15.014,5835,1.03,1.03
2954,b,1,8.02768059,,0.83,FALSE,289.603836,46.314953,15.57,5535,0.96,0.93
2955,b,1,85.35129427,,0.607,FALSE,294.632389,43.400467,15.061,5773,0.99,0.99
2956,b,1,76.13602028,,0.434,FALSE,288.848631,51.209049,12.45,5653,0.96,0.91
2957,b,1,20.38177573,,0.276,FALSE,286.741873,43.190108,15.887,5020,0.81,0.77
2958,b,1,5.10137945,,0.289,FALSE,295.577265,46.254742,15.455,5836,1.04,1.06
2959,b,1,3.94963138,,0.203,FALSE,292.353929,46.22628,15.623,5047,0.82,0.78
2960,b,1,3.14866453,,0.197,FALSE,297.779266,46.492741,15.297,5333,0.88,0.84
2961,b,1,15.59461874,,0.259,FALSE,297.664523,43.248962,15.43,5678,0.96,0.95
2962,b,1,5.83376092,,0.214,FALSE,285.057092,46.320675,15.776,5754,1,1
2963,b,1,14.16399294,,0.222,FALSE,297.724283,43.527435,14.48,5570,0.93,0.92
2964,b,1,2.61703254,,0.145,FALSE,290.122337,43.08556,15.835,4751,0.75,0.71
2965,b,1,150.242127,,0.414,FALSE,287.285313,51.249981,14.827,5541,0.92,0.91
2966,b,1,5.03251791,,0.183,FALSE,282.363512,46.67524,15.695,5614,0.93,0.89
2967,b,1,40.4287755,,0.322,FALSE,289.424591,50.994122,14.982,5664,0.97,0.95
2968,b,2,114.73635,1.02,1.204,TRUE,297.916877,46.96513,14.6,5600,1.1,1.82
2969,c,2,191.2318,0.02,0.548,FALSE,297.916877,46.96513,14.6,5600,1.1,1.82
2970,b,1,21.3587621,,0.248,FALSE,295.402544,50.478634,15.259,5857,1.01,1.02
2971,b,1,22.0459018,,0.334,FALSE,294.52711,43.36816,15.689,5993,1.11,1.14
2972,b,1,2.57885507,,0.178,FALSE,295.417461,43.60564,15.106,5902,1.05,1.08
2973,b,1,20.5533844,,0.335,FALSE,296.403212,51.271339,14.829,6163,1.18,1.27
2974,b,1,40.0686727,,0.352,FALSE,294.95686,43.014328,14.683,6020,1.09,1.13
2975,b,1,27.5073799,,0.259,FALSE,297.3013,43.141888,15.219,5958,1.06,1.11
2976,b,1,5.14438011,,0.128,FALSE,283.478199,43.383781,15.369,5060,0.81,0.77
2977,b,1,18.45847097,,0.189,FALSE,289.859129,46.522667,14.516,5261,0.85,0.81
2978,b,1,25.9422033,,0.172,FALSE,285.296197,46.603439,14.817,5044,0.81,0.77
2979,b,1,33.3855938,,0.229,FALSE,295.806573,50.909798,14.264,5792,1.02,1.02
2980,b,1,7.71468975,,0.237,FALSE,281.971245,43.672771,12.082,6761,1.46,1.74
2981,b,1,4.44448017,,0.159,FALSE,288.992588,46.670753,15.216,5961,1.06,1.09
2982,b,1,3.98953967,,0.11,FALSE,294.649885,43.335587,14.083,5476,0.9,0.87
2983,b,1,12.98495573,,0.159,FALSE,286.433673,50.300327,13.029,6116,1.06,1.09
